,Plan_Name,URL,Sponsor_Name,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,Telephone,EIN,Industry Code,Named Administrator,Named Plan Sponsor,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,USAA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/342385/United-Services-Automobile-Association/347203/Usaa-Retirement-Savings-Plan/,UNITED SERVICES AUTOMOBILE ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1968,"$6,833,944,063",2,Single Employer,No,Yes,Trust,Trust,"33,814","3,595","5,869","43,278",293,"43,571","41,478","43,270","2,558",$0,$0,$0,$0,$0,$0,"9800 Fredericksburg Road, D Svc E ",San Antonio,TX,78288-4002,(210) 498-1450,74-0959140,524290,Asa Waterman,Laura Bishop,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,Conduent,"Recordkeeping and information management (computing, tabulating, data processing, etc.), Participant loan processing, Participant communication, Direct payment from the plan, Recordkeeping fees, Account maintenance fees",NONE,"$1,266,097","$50,000","$1,316,097"
1,USAA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/342385/United-Services-Automobile-Association/347203/Usaa-Retirement-Savings-Plan/,UNITED SERVICES AUTOMOBILE ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1968,"$6,833,944,063",2,Single Employer,No,Yes,Trust,Trust,"33,814","3,595","5,869","43,278",293,"43,571","41,478","43,270","2,558",$0,$0,$0,$0,$0,$0,"9800 Fredericksburg Road, D Svc E ",San Antonio,TX,78288-4002,(210) 498-1450,74-0959140,524290,Asa Waterman,Laura Bishop,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,Goldman Sachs Asset Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$823,781",$0,"$823,781"
2,USAA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/342385/United-Services-Automobile-Association/347203/Usaa-Retirement-Savings-Plan/,UNITED SERVICES AUTOMOBILE ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1968,"$6,833,944,063",2,Single Employer,No,Yes,Trust,Trust,"33,814","3,595","5,869","43,278",293,"43,571","41,478","43,270","2,558",$0,$0,$0,$0,$0,$0,"9800 Fredericksburg Road, D Svc E ",San Antonio,TX,78288-4002,(210) 498-1450,74-0959140,524290,Asa Waterman,Laura Bishop,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,Macquaire Investment Management,"Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$640,798",$0,"$640,798"
3,USAA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/342385/United-Services-Automobile-Association/347203/Usaa-Retirement-Savings-Plan/,UNITED SERVICES AUTOMOBILE ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1968,"$6,833,944,063",2,Single Employer,No,Yes,Trust,Trust,"33,814","3,595","5,869","43,278",293,"43,571","41,478","43,270","2,558",$0,$0,$0,$0,$0,$0,"9800 Fredericksburg Road, D Svc E ",San Antonio,TX,78288-4002,(210) 498-1450,74-0959140,524290,Asa Waterman,Laura Bishop,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,The Northern Trust Company,"Custodial (securities), Trustee (bank, trust company, or similar financial institution), Investment management, Valuation (appraisals, etc.), Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Float revenue",NONE,"$625,968",$0,"$625,968"
4,USAA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/342385/United-Services-Automobile-Association/347203/Usaa-Retirement-Savings-Plan/,UNITED SERVICES AUTOMOBILE ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1968,"$6,833,944,063",2,Single Employer,No,Yes,Trust,Trust,"33,814","3,595","5,869","43,278",293,"43,571","41,478","43,270","2,558",$0,$0,$0,$0,$0,$0,"9800 Fredericksburg Road, D Svc E ",San Antonio,TX,78288-4002,(210) 498-1450,74-0959140,524290,Asa Waterman,Laura Bishop,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,Blackrock Institutional Trust Co,"Trustee (bank, trust company, or similar financial institution), Trustee (discretionary), Investment management, Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$565,364",$0,"$565,364"
5,USAA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/342385/United-Services-Automobile-Association/347203/Usaa-Retirement-Savings-Plan/,UNITED SERVICES AUTOMOBILE ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1968,"$6,833,944,063",2,Single Employer,No,Yes,Trust,Trust,"33,814","3,595","5,869","43,278",293,"43,571","41,478","43,270","2,558",$0,$0,$0,$0,$0,$0,"9800 Fredericksburg Road, D Svc E ",San Antonio,TX,78288-4002,(210) 498-1450,74-0959140,524290,Asa Waterman,Laura Bishop,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,Transamerica (Formerly Aegon),"Direct payment from the plan, Other insurance wrap fees",NONE,"$518,016",$0,"$518,016"
6,USAA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/342385/United-Services-Automobile-Association/347203/Usaa-Retirement-Savings-Plan/,UNITED SERVICES AUTOMOBILE ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1968,"$6,833,944,063",2,Single Employer,No,Yes,Trust,Trust,"33,814","3,595","5,869","43,278",293,"43,571","41,478","43,270","2,558",$0,$0,$0,$0,$0,$0,"9800 Fredericksburg Road, D Svc E ",San Antonio,TX,78288-4002,(210) 498-1450,74-0959140,524290,Asa Waterman,Laura Bishop,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,Prudential Insurance Company,"Custodial (securities), Investment management, Valuation (appraisals, etc.), Direct payment from the plan, Investment management fees paid directly by plan",NONE,"$424,782",$0,"$424,782"
7,USAA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/342385/United-Services-Automobile-Association/347203/Usaa-Retirement-Savings-Plan/,UNITED SERVICES AUTOMOBILE ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1968,"$6,833,944,063",2,Single Employer,No,Yes,Trust,Trust,"33,814","3,595","5,869","43,278",293,"43,571","41,478","43,270","2,558",$0,$0,$0,$0,$0,$0,"9800 Fredericksburg Road, D Svc E ",San Antonio,TX,78288-4002,(210) 498-1450,74-0959140,524290,Asa Waterman,Laura Bishop,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,VOYA,"Insurance services, Direct payment from the plan, Other insurance wrap fees",NONE,"$73,533",$0,"$73,533"
8,USAA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/342385/United-Services-Automobile-Association/347203/Usaa-Retirement-Savings-Plan/,UNITED SERVICES AUTOMOBILE ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1968,"$6,833,944,063",2,Single Employer,No,Yes,Trust,Trust,"33,814","3,595","5,869","43,278",293,"43,571","41,478","43,270","2,558",$0,$0,$0,$0,$0,$0,"9800 Fredericksburg Road, D Svc E ",San Antonio,TX,78288-4002,(210) 498-1450,74-0959140,524290,Asa Waterman,Laura Bishop,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,State Street Global Advisors,"Custodial (other than securities), Custodial (securities), Investment management, Direct payment from the plan, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan, Other fees",NONE,"$58,968",$0,"$58,968"
9,USAA PENSION PLAN,https://www.brightscope.com/form-5500/basic-info/342385/United-Services-Automobile-Association/347203/Usaa-Retirement-Savings-Plan/,UNITED SERVICES AUTOMOBILE ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1968,"$6,833,944,063",2,Single Employer,No,Yes,Trust,Trust,"33,814","3,595","5,869","43,278",293,"43,571","41,478","43,270","2,558",$0,$0,$0,$0,$0,$0,"9800 Fredericksburg Road, D Svc E ",San Antonio,TX,78288-4002,(210) 498-1450,74-0959140,524290,Asa Waterman,Laura Bishop,Audited,Ernst & Young LLP,34-6565596,Unqualified,Full Audit,Total,Total,Total,"$4,997,307","$50,000","$5,047,307"
