,FileCompName,Plan Year,Date of Plan,Net Assets as of 12/31/2018,Plan Number,Plan Type,Is the plan collectively bargained?,Did the plan file for an extension of time or the DFVC Program?,Plan Funding Arrangement,Plan Benefit Arrangement,Active (Eligible) Participants,Retired or separated participants receiving benefits,Other retired or separated participants entitled to future benefits,Subtotal,Deceased participants whose beneficiaries are receiving or are entitled to receive benefits,Total,Total number of participants as of 01/01/2018,Number of participants with account balances,Number of participants that terminated employment during the plan year with accrued benefits that were less than 100% vested,Total Benefit Payments,Corrective Distributions,Administrative Service Providers,Other Expenses,Total Expenses,Total Transfers,Address,City,State,Zip,EIN,Industry Code,Named Administrator,Administrator Name,Address,City,State,Zip,Administrator EIN,Audit Status,Auditor,Auditor EIN,Audit Opinion,Audit Type,Name,Nature of Service,Relationship to Plan Sponsor,Direct Compensation Paid by Plan,Indirect Compensation Paid by Plan,Total Compensation
0,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1958,"$26,541,149,765",2,Single Employer,No,Yes,InsuranceTrust,Trust,"169,964","10,899","89,412","270,275","1,264","271,539","266,792","267,428","2,495",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,37-1589439,Audited,"Meaden & Moore, Ltd",34-1818258,Unqualified,Full Audit,"Blackrock Inst Trust Co., N.A.","Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$3,669,997",$0,"$3,669,997"
1,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1958,"$26,541,149,765",2,Single Employer,No,Yes,InsuranceTrust,Trust,"169,964","10,899","89,412","270,275","1,264","271,539","266,792","267,428","2,495",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,37-1589439,Audited,"Meaden & Moore, Ltd",34-1818258,Unqualified,Full Audit,"Wellington Management Company, LLP","Investment management, Investment management fees paid directly by plan, Soft dollars commissions, Investment management fees paid indirectly by plan",NONE,"$2,987,192","$16,703","$3,003,895"
2,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1958,"$26,541,149,765",2,Single Employer,No,Yes,InsuranceTrust,Trust,"169,964","10,899","89,412","270,275","1,264","271,539","266,792","267,428","2,495",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,37-1589439,Audited,"Meaden & Moore, Ltd",34-1818258,Unqualified,Full Audit,"Columbia Mngmnt Inv Advisers, LLC","Investment management, Investment management fees paid directly by plan",NONE,"$2,337,841",$0,"$2,337,841"
3,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1958,"$26,541,149,765",2,Single Employer,No,Yes,InsuranceTrust,Trust,"169,964","10,899","89,412","270,275","1,264","271,539","266,792","267,428","2,495",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,37-1589439,Audited,"Meaden & Moore, Ltd",34-1818258,Unqualified,Full Audit,"Jennison Associates, LLC","Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$2,022,314",$0,"$2,022,314"
4,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1958,"$26,541,149,765",2,Single Employer,No,Yes,InsuranceTrust,Trust,"169,964","10,899","89,412","270,275","1,264","271,539","266,792","267,428","2,495",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,37-1589439,Audited,"Meaden & Moore, Ltd",34-1818258,Unqualified,Full Audit,"T. Rowe Price Associates, Inc.","Investment management, Investment management fees paid directly by plan, Soft dollars commissions",NONE,"$1,600,095",$0,"$1,600,095"
5,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1958,"$26,541,149,765",2,Single Employer,No,Yes,InsuranceTrust,Trust,"169,964","10,899","89,412","270,275","1,264","271,539","266,792","267,428","2,495",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,37-1589439,Audited,"Meaden & Moore, Ltd",34-1818258,Unqualified,Full Audit,Pimco,"Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$1,319,231",$0,"$1,319,231"
6,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1958,"$26,541,149,765",2,Single Employer,No,Yes,InsuranceTrust,Trust,"169,964","10,899","89,412","270,275","1,264","271,539","266,792","267,428","2,495",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,37-1589439,Audited,"Meaden & Moore, Ltd",34-1818258,Unqualified,Full Audit,"Causeway Capital Management, LLC","Investment management, Investment management fees paid directly by plan, Investment management fees paid indirectly by plan",NONE,"$1,100,591",$0,"$1,100,591"
7,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1958,"$26,541,149,765",2,Single Employer,No,Yes,InsuranceTrust,Trust,"169,964","10,899","89,412","270,275","1,264","271,539","266,792","267,428","2,495",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,37-1589439,Audited,"Meaden & Moore, Ltd",34-1818258,Unqualified,Full Audit,"Jpmorgan Chase Bank, N.A.","Plan Administrator, Direct payment from the plan",Plan Sponsor,"$341,852",$0,"$341,852"
8,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1958,"$26,541,149,765",2,Single Employer,No,Yes,InsuranceTrust,Trust,"169,964","10,899","89,412","270,275","1,264","271,539","266,792","267,428","2,495",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,37-1589439,Audited,"Meaden & Moore, Ltd",34-1818258,Unqualified,Full Audit,"Jpmorgan Chase Bank, N.A.","Investment management, Securities brokerage, Shareholder servicing fees, Float revenue, Investment management fees paid indirectly by plan, Trustee (bank, trust company, or similar financial institution), Securities brokerage commissions and fees, Other investment fees and expenses",Plan Trustee,$0,"$180,104","$180,104"
9,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1958,"$26,541,149,765",2,Single Employer,No,Yes,InsuranceTrust,Trust,"169,964","10,899","89,412","270,275","1,264","271,539","266,792","267,428","2,495",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,37-1589439,Audited,"Meaden & Moore, Ltd",34-1818258,Unqualified,Full Audit,Fiduciary Counselors Inc.,"Consulting (general), Direct payment from the plan",NONE,"$156,250",$0,"$156,250"
10,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1958,"$26,541,149,765",2,Single Employer,No,Yes,InsuranceTrust,Trust,"169,964","10,899","89,412","270,275","1,264","271,539","266,792","267,428","2,495",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,37-1589439,Audited,"Meaden & Moore, Ltd",34-1818258,Unqualified,Full Audit,"Qdro Consultants Co, LLC","Consulting (general), Direct payment from the plan",NONE,"$59,200",$0,"$59,200"
11,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1958,"$26,541,149,765",2,Single Employer,No,Yes,InsuranceTrust,Trust,"169,964","10,899","89,412","270,275","1,264","271,539","266,792","267,428","2,495",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,37-1589439,Audited,"Meaden & Moore, Ltd",34-1818258,Unqualified,Full Audit,Mercer,"Consulting (general), Direct payment from the plan",NONE,"$14,442",$0,"$14,442"
12,JPMORGAN CHASE BANK  NATIONAL ASSOCIATION,01/01/2018 — 12/31/2018,01/01/1958,"$26,541,149,765",2,Single Employer,No,Yes,InsuranceTrust,Trust,"169,964","10,899","89,412","270,275","1,264","271,539","266,792","267,428","2,495",$0,$0,$0,$0,$0,$0,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,13-4994650,522110,Bernadette J Branosky,Jpmorgan Chase Us Benefits Executive,"545 Washington Blvd 12th Floor, Mail Code Ny1-G120",Jersey City,NJ,07310,37-1589439,Audited,"Meaden & Moore, Ltd",34-1818258,Unqualified,Full Audit,Total,Total,Total,"$15,609,005","$196,807","$15,805,812"
